date,value,normalized_value,sample_normalized_value,first_difference,second_difference,importance,privacy_budget,perturbed_value
2007-07-31,23184.9395,0.9448249722213924,0.9448249722213924,445.0391000000018,275.5489000000016,0.2128258444226037,0.0002542177821147007,1.167643742387137
2007-08-01,22455.3594,0.853894775794233,0.853894775794233,729.5800999999992,284.54099999999744,0.2995209182699101,0.00035777395243567555,0.08248338793944554
2007-08-02,22443.25,0.8523855376439393,0.8523855376439393,12.109400000001187,717.470699999998,0.21548166338660477,0.0002573901243110078,0.7951152809191505
2007-08-03,22538.4395,0.8642493479819723,0.8642493479819723,95.18950000000041,83.08009999999922,0.05265197055027219,6.289211356624665e-05,0.7635804044283752
2007-08-06,21936.7305,0.7892561874475915,0.7892561874475915,601.7089999999989,506.5194999999985,0.327315562187677,0.0003909743034109638,0.9082942922161216
2007-08-07,21907.9902,0.7856741803117395,0.7856741803117395,28.740300000001298,572.9686999999976,0.1777149023043398,0.00021227820538012492,0.5347798724316559
2007-08-08,22536.6699,0.8640287963583774,0.8640287963583774,628.6797000000006,599.9393999999993,0.36287295574064254,0.00043344716074339044,0.9924798045387826
2007-08-09,22439.3594,0.8519006381487099,0.8519006381487099,97.31049999999959,531.369200000001,0.18568070523495903,0.00022179325633307079,0.6563578893114559
2007-08-10,21792.7109,0.7713065058192669,0.7713065058192669,646.648500000003,549.3380000000034,0.3532349092415284,0.00042193463597662423,0.9112603655193043
2007-08-13,21891.0996,0.7835690439795225,0.7835690439795225,98.38870000000315,548.2597999999998,0.1909877947691469,0.00022813250772674265,0.5801534822588003
2007-08-14,22007.3203,0.7980540485457132,0.7980540485457132,116.22069999999803,17.831999999994878,0.03959249817458565,4.7292738819527076e-05,0.8010033778871326
2007-08-15,21375.7207,0.7193355148421279,0.7193355148421279,631.5995999999977,515.3788999999997,0.33876038429320177,0.0004046449988110325,0.03715445737791778
2007-08-16,20672.3906,0.6316769504896546,0.6316769504896546,703.3301000000029,71.73050000000512,0.22891434033551877,0.00027343528720501914,0.6964938092053904
2007-08-17,20387.1309,0.5961240063321145,0.5961240063321145,285.2596999999987,418.07040000000416,0.20772871937963747,0.0002481293306528981,0.6520238108551804
2007-08-20,21595.6309,0.7467437153705356,0.7467437153705356,1208.5,923.2403000000013,0.6296100260303983,0.0007520612209896979,1.5129398125177902
2007-08-21,21729.3496,0.7634095587193118,0.7634095587193118,133.71870000000126,1074.7812999999987,0.3569307745684293,0.0004263493004124609,0.6828243831614589
2007-08-22,22346.8809,0.8403747095079902,0.8403747095079902,617.5312999999987,483.8125999999975,0.325282193871091,0.000388545470648349,0.7515270667897805
2007-08-23,22966.9707,0.9176587353695482,0.9176587353695482,620.0898000000016,2.558500000002823,0.18389932974986953,0.00021966542582375667,0.8337176529522486
2007-08-24,22921.8906,0.9120402400899261,0.9120402400899261,45.08010000000286,575.0096999999987,0.1831436761406562,0.0002187628071352118,0.7185370084248586
2007-08-27,23577.7305,0.9937799297165605,0.9937799297165605,655.8399000000027,610.7597999999998,0.3740905353654457,0.0004468464178714389,0.1416368275498988
2007-08-28,23363.7598,0.9671119904722514,0.9671119904722514,213.97070000000167,441.869200000001,0.1937024770375525,0.00023137516139642487,0.9530353431235216
2007-08-29,23020.5996,0.9243426983931731,0.9243426983931731,343.16019999999844,129.18949999999677,0.13950860098317214,0.00016664126118745036,1.0631301412001661
2007-08-30,23484.5391,0.9821651497803725,0.9821651497803725,463.9395000000004,120.77930000000197,0.17269684252273343,0.0002062841963740295,1.2319250245453743
2007-08-31,23984.1406,1.0444322847122371,1.0444322847122371,499.60149999999703,35.661999999996624,0.1580902074085281,0.0001888367552845036,0.901807098681686
2007-09-03,23904.0898,1.034455265097597,1.034455265097597,80.05079999999725,419.5506999999998,0.14755742686847173,0.0001762554820107694,1.2801137903901056
2007-09-04,23886.0703,1.0322094298911277,1.0322094298911277,18.019500000002154,62.0312999999951,0.023643023623352456,2.8241292989206995e-05,1.0390754892789231
2007-09-05,24069.1699,1.0550297927186425,1.0550297927186425,183.09960000000137,165.08009999999922,0.10283496070335421,0.0001228350612435422,1.0647372630371086
2007-09-06,24050.4004,1.0526904823100394,1.0526904823100394,18.769500000002154,164.33009999999922,0.05407851224755488,6.459609959933968e-05,1.0131175986741274
2007-09-07,23982.6094,1.0442414457395608,1.0442414457395608,67.79099999999744,49.021499999995285,0.034500600831007075,4.1210531778591214e-05,1.0888707822641053
2007-09-10,23999.6992,1.0463714090854643,1.0463714090854643,17.089799999997922,50.70119999999952,0.020022088654338004,2.3916131919122916e-05,1.0583013797142093
2007-09-11,23952.2402,1.0404564229280342,1.0404564229280342,47.45899999999892,30.369200000001,0.022986578162405135,2.7457177180273943e-05,1.0547575676461762
2007-09-12,24310.1406,1.0850628392397714,1.0850628392397714,357.9003999999986,310.4413999999997,0.19739491630157854,0.0002357857334434457,0.9551672407782608
2007-09-13,24537.0195,1.1133395739563265,1.1133395739563265,226.8788999999997,131.02149999999892,0.10570597185796458,0.0001262644477925853,1.0897215041577548
2007-09-14,24898.1094,1.158343509144339,1.158343509144339,361.0899000000027,134.21100000000297,0.14628724359242215,0.0001747382641362554,1.1240013230552441
2007-09-17,24599.3398,1.1211067774757206,1.1211067774757206,298.7695999999996,62.320300000003044,0.10664799147359341,0.00012738967832106462,1.1313477134958467
2007-09-18,24576.8496,1.1183037428210114,1.1183037428210114,22.490200000000186,276.27939999999944,0.08824167542035553,0.00010540356635871792,0.9814244023842977
2007-09-19,25554.6406,1.2401693579806197,1.2401693579806197,977.7909999999974,955.3007999999973,0.5709391423135105,0.0006819795916947146,2.1305116550197947
2007-09-20,25701.1309,1.2584269718514935,1.2584269718514935,146.4903000000013,831.3006999999961,0.28879081422924135,0.0003449569787336363,1.0535757302224162
2007-09-21,25843.7793,1.2762057558835962,1.2762057558835962,142.64839999999822,3.841900000003079,0.0432659464176765,5.1680626331991784e-05,1.2677045483481282
2007-09-24,26551.9395,1.364466313001172,1.364466313001172,708.1602000000021,565.5118000000039,0.3761793409235603,0.00044934146971861185,0.7468902032920133
2007-09-25,26430.2891,1.3493045853616128,1.3493045853616128,121.65039999999863,586.5098000000035,0.2091552906119442,0.0002498333519652042,1.2947120472875213
2007-09-27,27065.1504,1.4284296364875981,1.4284296364875981,634.8612999999968,634.8612999999968,0.3750128846545616,0.00044794815244343254,2.253896851537141
2007-09-28,27142.4707,1.4380663440496702,1.4380663440496702,77.32030000000304,557.5409999999938,0.1875064423272808,0.00022397407622171627,1.993235751252626
2007-10-02,28199.75,1.5698388724223182,1.5698388724223182,1057.2792999999983,1057.2792999999983,0.6245354066763197,0.000745999652288913,2.1956873232267733
2007-10-03,27479.9395,1.4801262964415152,1.4801262964415152,719.8104999999996,337.46879999999874,0.31226770333815984,0.0003729998261444565,1.5415879241908625
